Datetime,Tweet Id,Username,Like Count,Display Name,Text_lemmatized
2021-02-27 23:59:59+00:00,1365813964320501767,seeker375,0,Matthew,"['ive', 'trying', 'tweet', 'dr', 'yeadon', 'long', 'time', 'day', 'wouldnt', 'allow', 'page', 'refresh', 'log', 'dont', 'want', 'accept', 'opinion', 'side', 'covid', 'amp', 'vaccine', 'msm', 'debate', 'msm', 'sacksage']"
2021-02-27 23:59:58+00:00,1365813959333318656,Richard31225984,0,Demosthenies MAN / MAN,"['food', 'drug', 'administration', 'authorized', 'johnson', 'amp', 'johnson', 'vaccine', 'emergency', 'use', 'making', 'third', 'vaccine', 'available', 'u', 'public', 'securing', 'another', 'vital', 'step', 'u', 'fight', 'control', 'covid19', 'let', 'see', 'trudeau', 'fuck', 'upcanada', 'need', 'concur']"
2021-02-27 23:59:57+00:00,1365813958163111938,NxtLevelPromo_,36,NxtLevelPromo,"['ap', 'there', 'three', 'covid19', 'vaccine', 'flint', 'michigan', 'still', 'doesnt', 'clean', 'water']"
2021-02-27 23:59:49+00:00,1365813925082763266,WENYNicholasP,0,Nicholas Phillips,"['johnson', 'amp', 'johnson', 'covid19', 'vaccine', 'get', 'emergency', 'use', 'authorization', 'fda', 'httpstconbrgks0jbo']"
2021-02-27 23:59:46+00:00,1365813911208030213,xphile101,1,Michelle,"['aamots20', 'likethe309', 'cousin', 'doctor', 'covid', 'last', 'year', 'one', 'post', 'vaccine', 'said', 'id', 'get', 'shot', 'needed', 'inject', 'eyeball', 'effective', 'thankfully', 'isnt', 'yeah', 'gimme', 'one']"
2021-02-27 23:59:36+00:00,1365813869608902658,ThinkBlueSC,1,Why SC,"['new', 'covidvaccine', 'learn', 'httpstco7n6rfyqu5n', 'httpstcomtyb17bxbg']"
2021-02-27 23:59:35+00:00,1365813863623651329,1CraftyWitch,2,🌊🌹🌎 WitchyWoman PRU SOS 🐈🐈😷,"['fda', 'grant', 'emergency', 'use', 'authorization', 'johnson', 'amp', 'johnson', 'covid19', 'vaccine', 'httpstcoict63nlzjc']"
2021-02-27 23:59:34+00:00,1365813860515643394,Brian52810812,1,Brian,"['fda', 'grant', 'emergency', 'use', 'authorization', 'johnson', 'amp', 'johnson', 'covid19', 'vaccine', 'httpstcooq0odeuply']"
2021-02-27 23:59:31+00:00,1365813845667774471,chrisowens100,1,Chris Owens,"['johnson', 'amp', 'johnson', 'covid', 'vaccine', 'fda', 'approves', 'singleshot', 'jab', 'httpstcogr4kk546fa']"
2021-02-27 23:59:28+00:00,1365813833089097729,mokiwis,0,Moisés,"['fda', 'authorizes', 'onedose', 'covid19', 'vaccine', 'httpstcogihbhv694a']"
2021-02-27 23:59:23+00:00,1365813815015862273,Happyli80729814,2,Happy life,"['guardian', 'american', 'received', 'vaccine', 'developed', 'pfizer', '28', 'million', 'modernadeveloped', 'vaccine', '26', 'million', '15', 'million', 'people', 'already', 'received', 'second', 'dose', 'reason', 'second', 'dose', 'covid19', 'vaccine', 'worse', 'side', 'effect', 'httpstcotiw5zdq574']"
2021-02-27 23:59:20+00:00,1365813800298024960,THETonyMorrison,1,Tony • GMA,"['breaking', 'fda', 'authorizes', 'johnson', 'amp', 'johnson', 'vaccine', 'giving', 'u', 'third', 'option', 'fight', 'covid19', 'virus', 'here', 'whats', 'next', 'httpstcoxj0a11qp8j']"
2021-02-27 23:59:19+00:00,1365813796535730181,d_nwo1,0,___,"['fda', 'approved', 'single', 'shot', 'covid', 'vaccine', 'johnson', 'amp', 'johnson']"
2021-02-27 23:59:16+00:00,1365813785848655873,Okie_Resister,1,JoCo 🌊🧼🖐😷🏡🗳💉,"['oklahoma', 'vaccinated', 'million', 'citizen', 'good', 'start', 'must', 'increase', 'inoculation', 'must', 'better', 'educating', 'populace', 'vaccine', 'safety', 'efficacy', 'hard', 'know', 'governor', 'covid', 'kevin', 'refuse', 'mandate', 'mask', 'antivaxxer']"
2021-02-27 23:59:16+00:00,1365813782883094529,Dame_DNA,6,Dr. Jessica F. Hebert,"['icymi', 'made', 'thread', 'oregon', 'newly', 'announced', 'covid', 'vaccine', 'phase', 'change', 'booking', 'appointment', 'portland', 'metro', 'short', 'version', 'next', 'phase', 'open', 'later', '329', '51', '61', '71', 'find', 'one', 'youre', 'httpstcofbvizwf4rw']"
2021-02-27 23:59:12+00:00,1365813766340960257,cooney_liz,49,Elizabeth Cooney,"['three', 'helenbranswell', 'explains', 'comparing', 'covid19', 'vaccine', 'developed', 'pfizer', 'moderna', 'johnson', 'amp', 'johnson', 'httpstcoie6xpzgw9h', 'via', 'statnews']"
2021-02-27 23:59:10+00:00,1365813760745762817,LorettaChadwic3,1,Loretta Chadwick,"['tkarmen7', 'sosopriceless', 'wont', 'getting', 'covid', 'vaccine', 'autoimmune', 'disease', 'stable', 'year', 'dont', 'believe', 'triggering', 'immune', 'response', 'would', 'wise', 'choice', 'dont', 'need', 'trigger', 'relapse', 'either', 'soon', 'later']"
2021-02-27 23:59:08+00:00,1365813751446990857,y2vvill,1,Expat Capitalist 🇨🇦🇲🇽,"['nomadcapitalist', 'waiting', 'video', 'digital', 'passport', 'vaccine', 'waste', 'end', 'getting', 'second', 'third', 'passport', 'u', 'dont', 'get', 'covid', 'vaccine']"
2021-02-27 23:59:08+00:00,1365813750192775168,AndyVermaut,0,Andy Vermaut,"['u', 'authorizes', 'johnson', 'amp', 'johnson', 'covid', 'vaccine', 'emergency', 'use', 'httpstco4hgnigsmws', 'httpstcoqy7pfvyybg']"
2021-02-27 23:59:07+00:00,1365813747353346058,klemenzum,5,Klemen Žumer,"['whats', 'efficacy', 'availability', 'covid_19', 'vaccine', 'europe', 'see', 'great', 'chart', 'ep_thinktank', 'httpstcocylnou4txo']"
2021-02-27 23:59:04+00:00,1365813734409699332,KodyKinsley,1,Secretary Kody Kinsley,"['third', 'safe', 'effective', 'vaccine', 'help', 'north', 'carolina', 'vaccinate', 'many', 'people', 'quickly', 'possible', 'meet', 'goal', 'provide', 'equitable', 'access', 'covid19', 'vaccination', 'every', 'community', 'state']"
2021-02-27 23:58:57+00:00,1365813705544503296,jonathanrockoff,4,Jonathan Rockoff,"['jampjs', 'covid19', 'vaccine', '3rd', 'authorized', '1st', 'use', 'viralvector', 'technology', 'mean', 'us', 'modified', 'version', 'virus', 'normally', 'cause', 'cold', 'deliver', 'genetic', 'code', 'giving', 'immune', 'system', 'instruction', 'mounting', 'defense', 'coronavirus']"
2021-02-27 23:58:53+00:00,1365813687911473153,jwanyvette1,0,J'Wan Yvette,"['lose', 'covid19', 'vaccine', 'card', 'httpstco9xid3zhrbh', 'smartnews']"
2021-02-27 23:58:53+00:00,1365813687735513095,caryclack,27,cary clack,"['sunday', 'column', 'update', 'mother', 'received', 'first', 'shot', 'morning', 'clack', 'scheduling', 'covid', 'vaccine', 'team', 'effort', 'httpstcoksfuy2712c', 'via', 'mysa']"
2021-02-27 23:58:52+00:00,1365813684283600898,arbaraibar,2,Adriana DLR,"['u', 'administers', '728', 'million', 'dos', 'covid19', 'vaccine', 'cdc', 'httpstcoudtswybl38']"
2021-02-27 23:58:47+00:00,1365813664993927169,c_will_4real,1,CJ Williams,"['got', 'covid', 'vaccine']"
2021-02-27 23:58:46+00:00,1365813659042279425,sbc111,0,Supriyo SB Chatterjee,"['fda', 'authorizes', 'johnson', 'amp', 'johnson', 'singledose', 'covid19', 'vaccine', 'statnews', '2272021', 'httpstco29yanelvzb']"
2021-02-27 23:58:46+00:00,1365813658123522049,darlakrusee,2,"Darla Krusee, Boosted & Masked 😷","['short', 'important', 'thread', 'dr', 'jha', 'jampj', 'covid', 'vaccine', 'read', 'get', 'shot', 'eligibleavailable', 'httpstco7jn3wyq2kr']"
2021-02-27 23:58:41+00:00,1365813639505203203,BiancaChristine,0,BiancaChristine,"['fda', 'grant', 'emergency', 'use', 'authorization', 'johnson', 'amp', 'johnson', 'covid19', 'vaccine', 'httpstcod2srkpbil7']"
2021-02-27 23:58:37+00:00,1365813619804545029,1NDB,0,Nekicia,"['philly', 'surgeon', 'delivers', 'covid', 'test', 'vaccine', 'compassionate', 'care', 'blahttpstconp7qwejgks']"
2021-02-27 23:58:33+00:00,1365813603576602624,bhushan_gyan,7,Lt Gen Gyan Bhushan,"['johnson', 'amp', 'johnson', 'covid', 'vaccine', 'fda', 'approves', 'singleshot', 'jab', 'httpstcoqnkyxwkcwu']"
2021-02-27 23:58:33+00:00,1365813602360250369,ccczcxcz,5,.,"['want', 'johnson', 'amp', 'johnson', 'covid', 'vaccine', 'shoot']"
2021-02-27 23:58:26+00:00,1365813575479091208,dolphinsman170,0,kevin Jacobs,"['fda', 'approves', 'johnson', 'amp', 'johnson', 'singleshot', 'covid', 'vaccine', 'emergency', 'use', 'httpstcoqsfqhwrrw0']"
2021-02-27 23:58:24+00:00,1365813566859862017,Delicious12u,0,Keith D Robinson,"['fda', 'approves', 'johnson', 'amp', 'johnson', 'singleshot', 'covid', 'vaccine', 'emergency', 'use', 'httpstcop2qmnofd96']"
2021-02-27 23:58:22+00:00,1365813558706130948,Happyli80729814,2,Happy life,"['thehill', 'war', 'vaccine', 'understand', 'reason', 'shouldnt', 'worry', 'covid19', 'vaccine', 'go', 'back', 'life', 'way', 'httpstco7mlmgrsuvj']"
2021-02-27 23:58:19+00:00,1365813546005716993,DNajera15,1,DanitaRodriguez,"['fda', 'authorizes', 'jampj', 'covid19', 'vaccine', 'emergency', 'use', 'coronavirus', 'update', 'httpstcodihr3w8dsx']"
2021-02-27 23:58:18+00:00,1365813541987614725,KCKarmaMusic,1,KC Karma,"['clear', 'anti', 'vaccine', 'dumbass', 'want', 'get', 'covid', 'vaccine', 'seems', 'like', 'going', 'route', 'pushing', 'multiple', 'different', 'vaccine', '2', 'far', 'know', 'imagine', 'safestmost', 'effective']"
2021-02-27 23:58:15+00:00,1365813527395598336,politicalHEDGE,0,PHedge,"['u', 'approves', 'johnson', 'ampamp', 'johnson', '1shot', 'covid19', 'vaccine', 'httpstcoirdfvloxcl']"
2021-02-27 23:58:14+00:00,1365813525172617218,NikkiButler77,0,NMR77,"['fda', 'grant', 'emergency', 'use', 'authorization', 'johnson', 'amp', 'johnson', 'covid19', 'vaccine', 'httpstcoolyugjywk1']"
2021-02-27 23:58:12+00:00,1365813517635391489,Alan_Nishihara,0,Alan Nishihara,"['parent', 'covid', 'vaccine', 'relieved', 'anxiety', 'everyone', 'shouldve', 'felt', 'httpstcoydpxmvpy2b']"
2021-02-27 23:58:11+00:00,1365813513772490752,Pogoer,1,Wes Eichenwald,"['new', 'name', 'covid', 'vaccine', 'would', 'effective', 'convincing', 'antivaxxers', 'take', 'shot', '1', 'america', 'fk', 'yeah', 'cocktail', '2', 'gee', 'vaccine', 'smell', 'terrific', '3', 'love', 'baby', 'soft', 'skin', '4', 'shot', 'make', 'libtards', 'cry']"
2021-02-27 23:58:11+00:00,1365813511935438848,JessicaGuayTV,5,Jessica Guay,"['breaking', 'fda', 'cleared', 'johnson', 'amp', 'johnson', 'oneshot', 'covid19', 'vaccine', 'emergency', 'use', 'authorization', 'tonight', 'kdka', 'httpstcoe280x07l7d']"
2021-02-27 23:58:10+00:00,1365813508726796291,rodraphael,0,RodRaphael,"['fda', 'authorizes', 'johnson', 'amp', 'johnson', 'singledose', 'covid19', 'vaccine', 'statk', 'httpstcofbmcvctdqp']"
2021-02-27 23:58:06+00:00,1365813491760848900,aawayne,117,Alex Wayne,"['official', 'u', 'third', 'vaccine', 'fight', 'covid19', 'johnson', 'amp', 'johnson', 'covid', 'vaccine', 'cleared', 'use', 'u']"
