,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2022-03-13 23:59:43+00:00,1503158897476997121,"@ Jamesoreilly3 @ junk5t @change and fear correctly.Russia is not Ukraine.In Russia, most of Putin.And a minority ... Like her like it ....
Cookies Nuland to Russia will not be long",Allama28,0,Allama,ru
1,2022-03-13 23:59:08+00:00,1503158753965002752,"""Ukraine is also to blame.""
Maybe some responsibility.
But not many.

Can you prove that you have something else yet?

Therefore, Russia, which invaded earlier, is a big responsibility.",sigma3141,0,しぐま,ru
2,2022-03-13 23:58:52+00:00,1503158686855925764,"Residents of Berdyansk, Ukraine, went to the streets in protest against the Russian invasion.They chant: ""# Berdyansk is # Ukraine!""https://t.co/iiiuzyfwgt.",asklanafirst,0,Lana Borzova,ru
3,2022-03-13 23:58:35+00:00,1503158615242416132,@Pylmariya @max_katz @kyevgeni in this and the problem that you can stay very problematic.The country at the beginning of economic development should fight for the influx of brains.Ukraine would only have won if residents and / or citizenship could be arranged after 5 years as in the US or 10 as in Europe,arkey_one,0,Ivan Ignatenko,ru
4,2022-03-13 23:58:28+00:00,1503158584233836547,@Censor_net on the expanses of social networks Ukraine won a confident victory),Dimakswell,1,Дмитрий Пикалов,ru
5,2022-03-13 23:57:40+00:00,1503158382953390080,"@ Irina52033465 D-O-X-Yu.
But everyone is on his line.
Someone just hates everyone and everything around the enemies for them.
Someone to believe the propaganda of the Molt Ukraine itself was to blame for 8 years bombed and then on the list.
Someone adheres to sadness due to what is happening, but Putin did not have the choice of NATO at the threshold.",tatibana110,1,tatibana1,ru
6,2022-03-13 23:56:50+00:00,1503158173414400002,"Interesting logic.In other words, they had a lot. And they all wanted to do so that Germany did not do anything, and Ukraine did everything herself, but so that everyone knows that Germany really wanted, but still thinking so to promise to make anything for Ukraine and notOffend the Russian Federation https://t.co/aczm9e7b9i",alladin202020,0,Сцарь - батюшка,ru
7,2022-03-13 23:56:42+00:00,1503158141067964420,"Pretchers called ""shame"" Russian requests for military assistance in China - https://t.co/icuhwbmgci # Finance # Ukraine # business https://t.co/sfbyheegyv",finoboz,0,Финансовое обозрение,ru
8,2022-03-13 23:54:30+00:00,1503157587503632387,"@Thenazcores @udrisva @varlamov What are you the case with a pitiful gandon.Good to you to come to the 90, clown holey, they already have in Ukraine ... although what kind of pussy Ukraine is no longer there.Salo Ukraine !!!!!🤣🤣🤣🤣🤣",khl981,0,Палпатин,ru
9,2022-03-13 23:54:05+00:00,1503157483275440128,"@tyglockismylife they want peace and it seems to them that Ptn is the world and everything will be fine, and Ukraine is war
But the problem is that Putin is also a war
and suppose that he will set the world there
he wanted them
But we want to see any outcome to see people, if only there was a world",monkikicastles,1,олень бараний образца 1997 года,ru
