,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2021-02-05 23:59:55+00:00,1357841415347273729,"The 3 links mentioned this hour on @catholiccom live.
1. 12 Things Less-Remote Cooperation in Evil Than COVID Vaccines https://t.co/f5aPF7uJIk
2. St. Alphonsus Ligouri on cooperation in evil https://t.co/PQ6O2usQiK
3. Top 10 prescriptions tested on HEK293 https://t.co/rrR5Q6SOym",FrMatthewLC,22,Fr Matthew P. Schneider LC 🇭🇰 🇹🇼,en
1,2021-02-05 23:59:51+00:00,1357841398645547010,"THIS SUNDAY: Days before the Senate impeachment trial begins, a divided GOP grapples with the post-Trump era. @SenBillCassidy and @RepAdamSchiff join. Plus, Dr. Anthony Fauci joins exclusively as the Biden administration races to get Covid vaccines into arms. #MTP #IfItsSunday https://t.co/aKjffml86a",MeetThePress,15,Meet the Press,en
2,2021-02-05 23:59:50+00:00,1357841393973157894,"At 8 a.m. on Feb. 8, we'll launch a #COVID19 Vaccine Scheduling Line! Call us at (985) 230-SHOT to schedule your #COVIDVaccine appointments if you meet current (and expanded effective Feb. 8) eligibility criteria as defined by @LADeptHealth. Read on to learn more: https://t.co/gkAqT7gvxX",mynorthoaks,1,North Oaks Health System,en
3,2021-02-05 23:59:37+00:00,1357841340571213827,@Albazalaza La débilité de cette phrase... Comme si les joueurs étaient vaccinés et immunisés pendant 10 j contre les blessures et le Covid,Pagayix,0,PAGAYISMO,fr
4,2021-02-05 23:59:35+00:00,1357841332543365121,"@am_draper @AllanGPaterson My reaction was akin to a moderate hangover,  I felt dehydrated,  achy and slightly nauseated.  I had Covid in early December,  from what I've seen, those who have had the virus recently seem to suffer less side effects with the Oxford vaccine.",panicmedic,1,Mark da medic 🇪🇺 🤝 🇬🇧 #GetVaxxed#WearAMask,en
5,2021-02-05 23:59:34+00:00,1357841326826397704,"Biden’s “Catch and Release” of illegal immigrants without Covid Testing?
What’s next illegals receiving Covid vaccines before America’s most vulnerable?
#FOJB",Pokeycorky,0,The Old Curmudgeon,en
6,2021-02-05 23:59:30+00:00,1357841311135629314,Kroger to give employees $100 to get COVID-19 vaccine https://t.co/g7sfdxa6Q3,wxyzdetroit,32,WXYZ Detroit,en
7,2021-02-05 23:59:30+00:00,1357841308228988931,"@jessicarmetcalf @fsuzeigler So it was an underlying condition, yes? So if I’m understanding your ridiculous logic, you can’t die from the vaccine (it was something else) but you can die from covid (even though it was something else)? Also read the room my “smart” comment was sarcastic.",newname_whodis,0,"Daniel Spiess, Realtor®️",en
8,2021-02-05 23:59:29+00:00,1357841305431281664,"My bf got the covid vaccine yesterday. He woke me up at 2am to tell me he had a 3rd arm growing out of the back of his neck. It'll be easier to scratch my back. Normally I would have been pissed he woke me. This.....had me cracking up.

#CovidVaccineHumor",saysmom91,1,justann,en
9,2021-02-05 23:59:23+00:00,1357841279099555840,"me, a molecular biologist whose job is testing pharmaceutical products as part of the FDA approval process + sitting in the salon listening to an elementary school teacher speak w overwhelming confidence about how the COVID vaccine is “toxic/harmful” = PURE ANGER",vanthyx,9,ashleigh,en
