,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2021-02-27 23:59:59+00:00,1365813964756692993,"Are you ready to roll your sleeve up for the COVID-19 vaccine? 

Each state has its own registration and vaccination plan. 

Learn about the COVID-19 Vaccination Program and find information on how and when you can get vaccinated in your area. https://t.co/6CXeIOhS7E",USAGov,3,USAGov,en
1,2021-02-27 23:59:59+00:00,1365813964320501767,"I've been trying to tweet about Dr Yeadon, for a long time, now, days... Why wouldn't you allow the page to refresh? Why did I have to log out? Why don't you want to accept opinions from the ""other side"" about Covid &amp; vaccines? Why? No MSM Debate! #MSM #SackSAGE",seeker375,0,Matthew,en
2,2021-02-27 23:59:58+00:00,1365813962739179523,U.S. authorizes Johnson &amp; Johnson’s COVID-19 vaccine By Reuters https://t.co/T1qzs5cVni,The_StreetPress,0,The Street Press,en
3,2021-02-27 23:59:58+00:00,1365813959333318656,"The Food and Drug Administration has authorized Johnson &amp; Johnson’s vaccine for emergency use, making it the third vaccine available to the US public and securing another vital step in the US fight to control Covid-19.

Lets see how Trudeau fucks this up.Canada needs to concur",Richard31225984,0,Demosthenies MAN / MAN,en
4,2021-02-27 23:59:57+00:00,1365813958163111938,"@AP There’s three COVID-19 vaccines but Flint, Michigan still doesn’t have clean water 🤔.",NxtLevelPromo_,36,NxtLevelPromo,en
5,2021-02-27 23:59:56+00:00,1365813951544623106,"""FDA grants emergency use authorization for Johnson &amp; Johnson's COVID-19 vaccine""  https://t.co/EUtGidHVfZ",DWR_Productions,0,Doctor Who Rebirth Productions,en
6,2021-02-27 23:59:49+00:00,1365813925082763266,Johnson &amp; Johnson's COVID-19 vaccine gets emergency use authorization from the FDA.  https://t.co/NBRGKs0jbo,WENYNicholasP,0,Nicholas Phillips,en
7,2021-02-27 23:59:46+00:00,1365813911208030213,"@aamots20 @likethe309 My cousin is a doctor who had Covid last year. In one post about the vaccine he said ""I'd get the shot if they needed to inject it into my eyeball to be effective."" Thankfully it isn't... so yeah, gimme any one of them.",xphile101,1,Michelle,en
8,2021-02-27 23:59:39+00:00,1365813878995759108,https://t.co/5CRxKh1W1M FDA Issues Emergency Use Authorization for Third COVID-19 Vaccine – https://t.co/y6wOdBAHcZ Our Hashtag https://t.co/tDeW0hb5So 2020 #FWN #freeworldnews #today,German_Dictator,0,Captor Zone,en
9,2021-02-27 23:59:36+00:00,1365813869608902658,We have a new #COVIDVaccine! Learn more: https://t.co/7n6RFYqU5N https://t.co/mtyb17BxBG,ThinkBlueSC,1,Why SC,en
10,2021-02-27 23:59:35+00:00,1365813863623651329,"""FDA grants emergency use authorization for Johnson &amp; Johnson's COVID-19 vaccine""  https://t.co/iCT63NlzjC",1CraftyWitch,2,🌊🌹🌎 WitchyWoman PRU SOS 🐈🐈😷,en
11,2021-02-27 23:59:34+00:00,1365813862105309184,"J&amp;J’s 1-dose shot cleared, giving US 3rd COVID-19 vaccine

https://t.co/2uCErHKQHW",WCTV,5,WCTV Eyewitness News,en
12,2021-02-27 23:59:34+00:00,1365813860515643394,"""FDA grants emergency use authorization for Johnson &amp; Johnson's COVID-19 vaccine""  https://t.co/oq0oDeuPly",Brian52810812,1,Brian,en
