,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2022-03-13 23:59:09+00:00,1503158755709571074,"@marrillka do not call ""DPR and LNR"", call Ordlo or temporarily occupied districts. But L-DNR invented terrorists.",FoxLovingBoxes,40,🇺🇦Емоційність України 🇺🇦,uk
1,2022-03-13 23:57:13+00:00,1503158271426842634,"Leave a complaint about these channels - the community is threatened by the state sovereignty of Ukraine

Kryvyi Rih - https://t.co/q7tg8xlnjj
Nikopol - https://t.co/fcofhrmikm.
Pavlograd - https://t.co/owghub1ceu
Novomoskovsk - https://t.co/trtssnqere
Zaporozhye - https://t.co/uxwhdfpjaa.",yuliia_titova,1,JT,uk
2,2022-03-13 23:56:37+00:00,1503158119672725508,"@PrincessBravato has not yet died of Ukraine, nor glory, nor will.",GrahamOtago,1,Graham,uk
3,2022-03-13 23:56:22+00:00,1503158054979833861,We won 🙏🏻🇺🇦 https://t.co/kormvqp2tv,FoxLovingBoxes,2,🇺🇦Емоційність України 🇺🇦,uk
4,2022-03-13 23:55:51+00:00,1503157926646763520,"Let this Rilo simply be strong and happy, he is to guilty who are rockets that degrees, # PutintoBipze, just go away from Ukraine https://t.co/vxs46k7nuj",sashunix,0,саша,uk
5,2022-03-13 23:54:42+00:00,1503157635578793989,@censor_net all Moscow Popes Gnat from Ukraine !!!,gonnor2,2,gonnor,uk
6,2022-03-13 23:54:29+00:00,1503157581510225921,"@stepovy_block @kotophijko @notlastkoshka Hah, by the way about taking.
Russians do not accept anyone to
""Russianzical"" Rosjerchables from Ukraine (and even the extensions that have proven their loyalty) are still not accepted to «Русский"" and remain crafts.as well as Belarusians",ebashneft,6,сало х86,uk
7,2022-03-13 23:54:18+00:00,1503157534630330368,"God was if you knew what I then had a problem ... I would better now because of the reasons for it, rather than because of the number of Heroes of Ukraine, posthumously",katikeeelf,19,🇺🇦перша приватна поплава,uk
8,2022-03-13 23:53:44+00:00,1503157392648847363,"News of Ukraine online: RF fires peaceful cities, Armed Forces stand firm.To ... https://t.co/kno00wtvih through @Youtube",SKRIPOLEGWOLF,0,олег скрипник,uk
9,2022-03-13 23:52:48+00:00,1503157157805674499,"The French activist Pierre Afner penetrated Volodymyr Putin Putin Tikhonova in Biarrist, changed the castles in the house and invited refugees from Ukraine.https://t.co/hetlpsjtkt.",tweetsNV,868,НВ,uk
