,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2022-03-13 23:59:09+00:00,1503158755709571074,"@marrillka Не називаємо ""ДНР і ЛНР"", називаємо ОРДЛО або тимчасово окуповані райони.Бо Л-ДНР вигадали терористи.",FoxLovingBoxes,40,🇺🇦Емоційність України 🇺🇦,uk
1,2022-03-13 23:57:13+00:00,1503158271426842634,"Залиште скаргу на ці канали - спільнота загрожує державному суверенітету України

Кривий Ріг - https://t.co/Q7TG8xLNjj
Нікополь - https://t.co/fCoFHRMIKM
Павлоград - https://t.co/owGhub1cEu
Новомосковськ - https://t.co/tRtSSNQERE
Запоріжжя - https://t.co/UXwHDFPjAa",yuliia_titova,1,JT,uk
2,2022-03-13 23:56:37+00:00,1503158119672725508,"@PrincessBravato Ще не вмерла України, ні слава, ні воля.",GrahamOtago,1,Graham,uk
3,2022-03-13 23:56:22+00:00,1503158054979833861,Ми перемогли 🙏🏻🇺🇦 https://t.co/KoRMvqp2tv,FoxLovingBoxes,2,🇺🇦Емоційність України 🇺🇦,uk
4,2022-03-13 23:55:51+00:00,1503157926646763520,"нехай це рило просто завжди буде сите і щасливе, він то в чому винен, які ракети, які гради, #путінтобіпізда, просто від'їбіться вже від України https://t.co/vXs46k7nuJ",sashunix,0,саша,uk
5,2022-03-13 23:54:42+00:00,1503157635578793989,@censor_net Всіх московських попів гнати з України!!!,gonnor2,2,gonnor,uk
6,2022-03-13 23:54:29+00:00,1503157581510225921,"@stepovy_block @kotophijko @notlastkoshka хах, до речі, з приводу прийняття.
росіяни нікого не приймають до себе
«русскоязичні» росієдрочери з України (та навіть перебіжчики, які свою лояльність довели) все одно не приймаються до «русских» і залишаються хохлами. так само білоруси",ebashneft,6,сало х86,uk
7,2022-03-13 23:54:18+00:00,1503157534630330368,"Боже якби ви знали які у мене тоді були пиздострадання… я б краще зараз через ті причини поревіла, ніж через кількість Героїв України посмертно",katikeeelf,19,🇺🇦перша приватна поплава,uk
8,2022-03-13 23:53:44+00:00,1503157392648847363,"🔴НОВИНИ УКРАЇНИ ОНЛАЙН: РФ обстрілює мирні міста, ЗСУ стоять міцно. Звер... https://t.co/KNO00wTvIh через @YouTube",SKRIPOLEGWOLF,0,олег скрипник,uk
9,2022-03-13 23:52:48+00:00,1503157157805674499,"Французький активіст П'єр Афнер проник на віллу дочки Володимира Путіна Катерини Тихонової в Біарриці, змінив у будинку замки і запросив туди біженців з України. https://t.co/hEtlpsjtKt",tweetsNV,868,НВ,uk
10,2022-03-13 23:51:54+00:00,1503156930164006912,Як світ співає на підтримку України • Ukrainer https://t.co/hd1HcCp1X4 via @YouTube,gata0156363844,0,gata01 🇺🇦,uk
11,2022-03-13 23:50:55+00:00,1503156683144667137,Страх расставанія)))) ну то запрошуємо всіх до України зараз аби ви реально відчули що таке страх расставанія https://t.co/ejjvyND7cV,tysbbdontlikeit,3,I'm the ЗСУ for your love,uk
12,2022-03-13 23:50:37+00:00,1503156608418791427,"Ще не вмерла України, ні слава, ні воля. https://t.co/cYuBBR6JI1",EOLindeK,0,E.O.Linde-Krychevska,uk
13,2022-03-13 23:49:44+00:00,1503156387903377409,На Луганщині загинув Народний Герой України полковник Валерій Гудзь https://t.co/u8HVU7mgUL #львів #варта1 #lviv,govarta1,0,Варта❶ Львів,uk
14,2022-03-13 23:49:19+00:00,1503156280613081089,"@mavka_zabavka енівей поляки біля кордону бачили як небо мигало, думаю трігер якийсь відбувся шо то не «десь там на сході України»",boredarthur,0,боред ес фак 💙💛,uk
15,2022-03-13 23:49:08+00:00,1503156234781868032,"@echasterejader Ненавидів його за те, що він відмовлявся співати Гімн України , граючи за збірну...",12345678qwerbhg,5,Амінь,uk
16,2022-03-13 23:48:18+00:00,1503156027621244928,"@gahallan_art @Asinastra Війна почалася 8 років назад. Тоді чомусь росіянам було весело і класно ""будєм в Крьіму отдьіхать!"". А тепер, коли прижало, будете нить, шо цього не хотіли? В Крим їздила - значить хотіла і підтримувала війну проти України. Пішла нахуй",larsen_tera,6,Валерія 🇺🇦,uk
17,2022-03-13 23:48:13+00:00,1503156004598521862,"русня в інеті мовчки страждає і намагається продовжувати пілити контєнт, без прив'язки до подій, але з грусним їбальником. моя найбільша розвага зараз, це приходити до них в коменти і добивати їх фразами типу ""бідолашні. ми з України можемо чимось допомогти?"".моє право на поплаву",alele_kitabonga,12,Алєля,uk
18,2022-03-13 23:47:01+00:00,1503155702705098752,"🔱 За добу 13 березня збито 4 літаки та 3 гелікоптера російських окупантів - Командування Повітряних Сил. #uazmi #новини #оос 

🔗 https://t.co/8u8dZBumyN https://t.co/Wy0EwHEaOL",UazmiNews,1,UAZMI - Новини України,uk
19,2022-03-13 23:45:30+00:00,1503155319605960704,@topwar_ru Мечтатели.😅 Слава Збройним Силам України!,PanSeptime,0,Pan Septime,uk
20,2022-03-13 23:45:24+00:00,1503155296931299328,"@arestovych та тільки кого визволять і від кого 
досі не пояснив їм дядько Вова 
Сказав шо ученія будуть проходить 
сказав щоб сідали на вертольоти 
і бомби до України несли",imvovik,0,Вовик,uk
21,2022-03-13 23:44:15+00:00,1503155005779582978,"Добрий вечір, ми з України і в нас температура &gt;___&lt;",wandervol,1,don’t mess with Ukraine,uk
