,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2021-02-16 23:59:59+00:00,1361827698272706566,"While they focused on bathroom bills, “show me your papers” legislation and fighting with sports teams over the Star Spangled Banner, 30 million Texans were left vulnerable to uncontrolled Covid spread, a bungled vaccine rollout and now this “rolling” power blackout. 2/4",BetoORourke,37899,Beto O'Rourke,en
1,2021-02-16 23:59:56+00:00,1361827686805475328,"@pajhwok @AFP This is good for WHO to give Afg emergency covid 19 vaccines..
In Israel...in a Medical Center of Islov Israel, professor Dr. Nabid -
Aralberg found a new covid 19 vaccine..99% effective..Scientist affirm this substance is advance..",Estrell45533352,0,Estrella,en
2,2021-02-16 23:59:56+00:00,1361827685341663232,question: have you received a COVID vaccine yet? (either one or both doses),avaryanne_,0,ava♉︎,en
3,2021-02-16 23:59:54+00:00,1361827679125663747,N.Y.C. Covid Vaccine Disparities Revealed in ZIP Code Data: Officials https://t.co/GpYW9fRTDK,jt120651,0,jt120651,fr
4,2021-02-16 23:59:47+00:00,1361827647085510659,"@blak3eng @DanielSHSU1 @AltaLoma1999 @liveoakgrove @DanCrenshawTX @Forrest4Trees 3.) When he did he specifically lie about Vaccine rollouts? 

4.) He meter called the Virus a hoax, he was rendering to the fact Democrats were trying to unilaterally blame Trump for COVID. 

5.) Your last two points contradict one another.",LandonTapscott,0,LJT,en
5,2021-02-16 23:59:33+00:00,1361827589464219651,"@repeat1968 Good luck to both you and your wife!

#COVIDVaccine Warriors!",StephenPPovoski,1,Stephen P. Povoski,en
6,2021-02-16 23:59:32+00:00,1361827586180063232,"Have concerns about taking the COVID 19 Vaccine? Join me for my Town Hall on Vaccine Safety &amp; Benefits on Thursday, Feb. 18th at 5:30pm CST. Our expert panel is ready to provide answers. We’ll arm you with unbiased facts to cut through the internet rumors and conspiracy theories. https://t.co/1Igo52BKeQ",RepRobinKelly,20,Robin Kelly,en
7,2021-02-16 23:59:32+00:00,1361827583512506368,Mandatory Covid Vaccines is a scary concept.,Sielina2,0,Wtf is going on,en
8,2021-02-16 23:59:31+00:00,1361827582426030083,"Trending on PubMed:  Reports of Anaphylaxis After Receipt of mRNA COVID-19 Vaccines in the US-December 14, 2020-January 18, 2021. https://t.co/UoyHZWg3dY",PubTrend,0,PubMed Trending,en
9,2021-02-16 23:59:31+00:00,1361827580941393926,"#UK #COVID #vaccination Every adult in the United Kingdom could receive both doses of a Covid-19 jab by August or September, the head of the UK’s #vaccine taskforce has said. https://t.co/K9VgyqTYSx",nisusmedical,1,Nisus Medical 💙,en
10,2021-02-16 23:59:26+00:00,1361827558174654472,"To pre-register for a vaccine, obtain information about COVID-19 testing or get help monitoring your symptoms, sign up for COVID Coach. Registration is free and your information will be protected and only used by CDPH for public health purposes related to COVID-19. https://t.co/0nEB52tHN8",RepSlaughter,0,Justin Slaughter,en
11,2021-02-16 23:59:23+00:00,1361827549500891139,Health officials say the COVID vaccine and mammograms may not mix @Jaccii reports. https://t.co/cKw43erAOf,69News,1,WFMZ-TV 69News,en
