,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2022-03-13 23:59:43+00:00,1503158897476997121,"@JamesOReilly3 @junk5t @Change И правильно бояться. Россия не Украина. В России большинство за Путина. А меньшинство...Нравится ее нравится ....
Печенье Нуланд в Россию не подвезёшь",Allama28,0,Allama,ru
1,2022-03-13 23:59:08+00:00,1503158753965002752,"«Украина тоже виновата».  
Может быть какая-то ответственность.
Но не многие.

Можете ли вы доказать, что у вас есть то, чего у вас еще нет?

Поэтому на Россию, которая вторглась раньше, лежит большая ответственность.",sigma3141,0,しぐま,ru
2,2022-03-13 23:58:52+00:00,1503158686855925764,"Жители Бердянска, Украина, вышли на улицы в знак протеста против российского вторжения. Они скандируют: «#Бердянск – это #Украина !» https://t.co/iiiuzyfwGT",asklanafirst,0,Lana Borzova,ru
3,2022-03-13 23:58:35+00:00,1503158615242416132,"@PylMariya @max_katz @KYevgeni В это-то и проблема что остаться у вас очень проблематично. Страна в начале экономического развития должна бороться за приток мозгов. Украина бы только выиграла, если бы резидентство и/или гражданство можно было оформить после 5 лет как в США или 10 как в Европе",arkey_one,0,Ivan Ignatenko,ru
4,2022-03-13 23:58:28+00:00,1503158584233836547,@censor_net На просторах соцсетей Украина одерживает уверенную победу),Dimakswell,1,Дмитрий Пикалов,ru
5,2022-03-13 23:57:40+00:00,1503158382953390080,"@Irina52033465 Д-о-х-у-я.
Но каждый по своей линии. 
Кто-то просто ненавидит всех и для них все вокруг враги.
Кто-то верить пропаганде мол Украина сама виновата 8 лет бомбила и далее по списку.
Кто-то придерживается грусти из-за происходящего НО у Путина не было выбора НАТО были у порога.",tatibana110,1,tatibana1,ru
6,2022-03-13 23:56:50+00:00,1503158173414400002,"Интересная логика. Другими словами им было пох.й, они все хотели сделать так чтобы Германия ничего не делала, а Украина сделала все сама, но чтобы все знали что Германия очень хотела, но все равно думала как бы так пообещать чтобы ничего не сделать для Украины и не обидеть РФ https://t.co/acZM9E7B9i",alladin202020,0,Сцарь - батюшка,ru
7,2022-03-13 23:56:42+00:00,1503158141067964420,"Подоляк назвал ""позором"" запросы России о военной помощи в Китай - https://t.co/ICuHwBmgci #финансы #Украина #бизнес https://t.co/SfByheEGYv",finoboz,0,Финансовое обозрение,ru
8,2022-03-13 23:54:30+00:00,1503157587503632387,"@theNazCores @udrisva @varlamov Какой же ты конченый жалкий гандон. Добро тебе пожаловать в 90, клоун дырявый, они уже у тебя на Украине...хотя какая в пизду Украина её нах нет уже. Сало Украине!!!!! 🤣🤣🤣🤣🤣",khl981,0,Палпатин,ru
9,2022-03-13 23:54:05+00:00,1503157483275440128,"@nyglockismylife они хотят мира, и им кажется, что птин это мир и всё будет хорошо, а украина это война
но проблема в том что путин тоже война
и предположим что он установит там мир
он их же задушит
но исстрадавшимся людям хочется увидеть любой исход, лишь бы был мир",monkikicastles,1,олень бараний образца 1997 года,ru
